GeneName	YFR-1	YFR-2	YFR-3	YFR-4	YFR-5	YFR-6
PDRG1	10.04426539	10.00972908	9.947753781	9.747933274	9.672434385	9.665059535
PDS5A	12.07966084	12.16644207	12.08457688	12.15364177	12.25996436	12.2751113
PDS5B	10.37660523	10.56071266	10.38858154	10.61318172	10.82267987	10.8825243
PDSS1	8.033036935	7.936274906	7.769913933	8.066297262	8.009657194	7.930466788
PDSS2	9.245821969	9.270674855	9.231570589	8.488723494	8.352509087	8.43343445
PDX1	-1.494638418	-1.497309657	-1.498301952	-1.498171771	-1.500240797	-1.494647904
PDXDC1	12.79544079	12.78935627	12.77400236	12.61574943	12.6496773	12.61858719
PDXDC2P-NPIPB14P	10.42149802	10.4962648	10.41983846	10.48642782	10.53327641	10.42429137
PDXK	11.80616838	11.6768059	11.72318386	11.62301026	11.57422962	11.54672956
PDXP	10.41028377	10.33166384	10.44628965	10.4972438	10.35259363	10.33875932
PDYN	1.793224905	1.700836598	1.881851916	1.695505863	1.682981688	1.637483178
PDZD11	9.362827928	9.363914536	9.418869931	9.423844764	9.52024494	9.529819448
PDZD2	9.974777095	10.04310541	10.09315771	8.301715663	8.55856261	8.404486584
PDZD3	2.078224061	2.14294734	2.038546221	1.975239241	1.988877627	2.041796918
PDZD4	13.19514632	13.08829571	13.24399602	12.24695851	12.09756704	12.02424232
PDZD7	6.136738862	5.868202807	6.059820917	5.502545753	5.355441539	5.104414625
PDZD8	10.52219507	10.58720481	10.58008663	10.60325721	10.63020341	10.68377675
PDZD9	-0.171386287	-0.137650021	-0.174763342	-0.105831153	-0.176477688	-0.091959097
PDZK1	5.34429782	5.642525685	5.419693207	6.853619943	7.113830754	7.120535825
PDZK1IP1	-2.209470385	-2.2103003	-2.210608591	-2.210568146	-2.211210961	-2.209473332
PDZK1P1	6.440874762	6.47781255	6.318888435	7.496936435	7.756855303	7.511142009
PDZRN3	8.591228738	8.308691735	8.430384119	7.849348373	7.61303842	7.944744197
PDZRN3-AS1	2.020071973	1.816593529	1.941410633	1.845241443	1.8898465	1.911924136
PDZRN4	4.831425473	4.707690619	4.66093233	6.532739662	6.859810069	6.877142249
PEA15	12.46047527	12.48280546	12.49469906	12.61277197	12.52439379	12.59410444
PEAK1	10.42057122	10.57607149	10.44921097	9.874011629	10.02191108	10.14227081
PEAR1	6.370045115	6.499959428	6.501229145	7.813325828	7.972444076	7.945390921
PEBP1	13.63635473	13.60780306	13.61123143	12.60772829	12.54247921	12.55936642
PEBP4	-0.172184532	-0.214916197	-0.114631249	-0.113954504	-0.185614308	-0.212519295
PECAM1	1.336317621	1.36601011	1.361802454	1.431195959	1.353749015	1.377505804
PECR	8.671428023	8.813034775	8.525286307	8.181942749	8.399616875	8.491566399
PEF1	10.84074396	10.75968048	10.75210505	11.04288937	11.04861385	11.08095014
PEG10	11.92045575	11.97864934	11.9584584	12.5597029	12.56255007	12.71110065
